"Time","Diffus"
2024-05-01 12:30:00,408 W/m²
2024-05-01 12:35:00,329 W/m²
2024-05-01 12:40:00,214 W/m²
2024-05-01 12:45:00,226 W/m²
2024-05-01 12:50:00,236 W/m²
2024-05-01 12:55:00,192 W/m²
2024-05-01 13:00:00,193 W/m²
2024-05-01 13:05:00,169 W/m²
2024-05-01 13:10:00,187 W/m²
2024-05-01 13:15:00,198 W/m²
2024-05-01 13:20:00,177 W/m²
2024-05-01 13:25:00,149 W/m²
2024-05-01 13:30:00,139 W/m²
2024-05-01 13:35:00,95.5 W/m²
2024-05-01 13:40:00,117 W/m²
2024-05-01 13:45:00,138 W/m²
2024-05-01 13:50:00,144 W/m²
2024-05-01 13:55:00,148 W/m²
2024-05-01 14:00:00,257 W/m²
2024-05-01 14:05:00,451 W/m²
2024-05-01 14:10:00,469 W/m²
2024-05-01 14:15:00,448 W/m²
2024-05-01 14:20:00,438 W/m²
2024-05-01 14:25:00,479 W/m²
2024-05-01 14:30:00,341 W/m²
2024-05-01 14:35:00,425 W/m²
2024-05-01 14:40:00,374 W/m²
2024-05-01 14:45:00,511 W/m²
2024-05-01 14:50:00,368 W/m²
2024-05-01 14:55:00,321 W/m²
2024-05-01 15:00:00,234 W/m²
2024-05-01 15:05:00,268 W/m²
2024-05-01 15:10:00,420 W/m²
2024-05-01 15:15:00,382 W/m²
2024-05-01 15:20:00,256 W/m²
2024-05-01 15:25:00,172 W/m²
2024-05-01 15:30:00,152 W/m²
2024-05-01 15:35:00,166 W/m²
2024-05-01 15:40:00,191 W/m²
2024-05-01 15:45:00,200 W/m²
2024-05-01 15:50:00,184 W/m²
2024-05-01 15:55:00,166 W/m²
2024-05-01 16:00:00,159 W/m²
2024-05-01 16:05:00,171 W/m²
2024-05-01 16:10:00,242 W/m²
2024-05-01 16:15:00,178 W/m²
2024-05-01 16:20:00,149 W/m²
2024-05-01 16:25:00,131 W/m²
2024-05-01 16:30:00,144 W/m²
2024-05-01 16:35:00,144 W/m²
2024-05-01 16:40:00,127 W/m²
2024-05-01 16:45:00,109 W/m²
2024-05-01 16:50:00,104 W/m²
2024-05-01 16:55:00,98.3 W/m²
2024-05-01 17:00:00,75.6 W/m²
2024-05-01 17:05:00,36.6 W/m²
2024-05-01 17:10:00,32.8 W/m²
2024-05-01 17:15:00,39.0 W/m²
2024-05-01 17:20:00,59.5 W/m²
2024-05-01 17:25:00,57.0 W/m²
2024-05-01 17:30:00,63.4 W/m²
2024-05-01 17:35:00,47.6 W/m²
2024-05-01 17:40:00,41.9 W/m²
2024-05-01 17:45:00,38.7 W/m²
2024-05-01 17:50:00,32.8 W/m²
2024-05-01 17:55:00,31.6 W/m²
2024-05-01 18:00:00,29.8 W/m²
2024-05-01 18:05:00,20.9 W/m²
2024-05-01 18:10:00,8.73 W/m²
2024-05-01 18:15:00,4.08 W/m²
2024-05-01 18:20:00,3.17 W/m²
2024-05-01 18:25:00,1.42 W/m²
2024-05-01 18:30:00,889 mW/m²
2024-05-01 18:35:00,211 mW/m²
2024-05-01 18:40:00,49.6 mW/m²
2024-05-01 18:45:00,190 mW/m²
2024-05-01 18:50:00,223 mW/m²
2024-05-01 18:55:00,120 mW/m²
2024-05-01 19:00:00,-37.2 mW/m²
2024-05-01 19:05:00,20.7 mW/m²
2024-05-01 19:10:00,-95.1 mW/m²
2024-05-01 19:15:00,132 mW/m²
2024-05-01 19:20:00,-53.8 mW/m²
2024-05-01 19:25:00,-78.6 mW/m²
2024-05-01 19:30:00,74.4 mW/m²
2024-05-01 19:35:00,16.5 mW/m²
2024-05-01 19:40:00,12.4 mW/m²
2024-05-01 19:45:00,78.6 mW/m²
2024-05-01 19:50:00,-533 mW/m²
2024-05-01 19:55:00,-1.07 W/m²
2024-05-01 20:00:00,-289 mW/m²
2024-05-01 20:05:00,-95.1 mW/m²
2024-05-01 20:10:00,-57.9 mW/m²
2024-05-01 20:15:00,-682 mW/m²
2024-05-01 20:20:00,-352 mW/m²
2024-05-01 20:25:00,-215 mW/m²
2024-05-01 20:30:00,199 mW/m²
2024-05-01 20:35:00,-248 mW/m²
2024-05-01 20:40:00,41.4 mW/m²
2024-05-01 20:45:00,-368 mW/m²
2024-05-01 20:50:00,-476 mW/m²
2024-05-01 20:55:00,778 mW/m²
2024-05-01 21:00:00,-45.5 mW/m²
2024-05-01 21:05:00,-1.11 W/m²
2024-05-01 21:10:00,550 mW/m²
2024-05-01 21:15:00,-1.03 W/m²
2024-05-01 21:20:00,1.05 W/m²
2024-05-01 21:25:00,1.31 W/m²
2024-05-01 21:30:00,1.24 W/m²
2024-05-01 21:35:00,-885 mW/m²
2024-05-01 21:40:00,356 mW/m²
2024-05-01 21:45:00,-620 mW/m²
2024-05-01 21:50:00,-372 mW/m²
2024-05-01 21:55:00,-500 mW/m²
2024-05-01 22:00:00,815 mW/m²
2024-05-01 22:05:00,-66.2 mW/m²
2024-05-01 22:10:00,331 mW/m²
2024-05-01 22:15:00,-674 mW/m²
2024-05-01 22:20:00,-161 mW/m²
2024-05-01 22:25:00,0.0259 fW/m²
2024-05-01 22:30:00,-28.9 mW/m²
2024-05-01 22:35:00,-1.18 W/m²
2024-05-01 22:40:00,-1.88 W/m²
2024-05-01 22:45:00,-1.36 W/m²
2024-05-01 22:50:00,-103 mW/m²
2024-05-01 22:55:00,-484 mW/m²
2024-05-01 23:00:00,-194 mW/m²
2024-05-01 23:05:00,-227 mW/m²
2024-05-01 23:10:00,-157 mW/m²
2024-05-01 23:15:00,-66.2 mW/m²
2024-05-01 23:20:00,-289 mW/m²
2024-05-01 23:25:00,240 mW/m²
2024-05-01 23:30:00,99.3 mW/m²
2024-05-01 23:35:00,161 mW/m²
2024-05-01 23:40:00,103 mW/m²
2024-05-01 23:45:00,62.0 mW/m²
2024-05-01 23:50:00,252 mW/m²
2024-05-01 23:55:00,145 mW/m²
