"Time","Diffus"
2024-07-14 11:50:00,81.2 W/m²
2024-07-14 11:55:00,81.2 W/m²
2024-07-14 12:00:00,81.3 W/m²
2024-07-14 12:05:00,81.3 W/m²
2024-07-14 12:10:00,81.2 W/m²
2024-07-14 12:15:00,81.1 W/m²
2024-07-14 12:20:00,80.7 W/m²
2024-07-14 12:25:00,81.4 W/m²
2024-07-14 12:30:00,81.4 W/m²
2024-07-14 12:35:00,81.5 W/m²
2024-07-14 12:40:00,81.2 W/m²
2024-07-14 12:45:00,80.9 W/m²
2024-07-14 12:50:00,80.9 W/m²
2024-07-14 12:55:00,80.8 W/m²
2024-07-14 13:00:00,80.7 W/m²
2024-07-14 13:05:00,81.7 W/m²
2024-07-14 13:10:00,82.8 W/m²
2024-07-14 13:15:00,80.9 W/m²
2024-07-14 13:20:00,79.6 W/m²
2024-07-14 13:25:00,79.5 W/m²
2024-07-14 13:30:00,79.2 W/m²
2024-07-14 13:35:00,78.8 W/m²
2024-07-14 13:40:00,78.4 W/m²
2024-07-14 13:45:00,77.8 W/m²
2024-07-14 13:50:00,77.4 W/m²
2024-07-14 13:55:00,77.5 W/m²
2024-07-14 14:00:00,76.5 W/m²
2024-07-14 14:05:00,76.6 W/m²
2024-07-14 14:10:00,76.5 W/m²
2024-07-14 14:15:00,75.6 W/m²
2024-07-14 14:20:00,75.5 W/m²
2024-07-14 14:25:00,75.2 W/m²
2024-07-14 14:30:00,74.6 W/m²
2024-07-14 14:35:00,73.7 W/m²
2024-07-14 14:40:00,73.5 W/m²
2024-07-14 14:45:00,73.5 W/m²
2024-07-14 14:50:00,73.3 W/m²
2024-07-14 14:55:00,71.4 W/m²
2024-07-14 15:00:00,71.6 W/m²
2024-07-14 15:05:00,71.9 W/m²
2024-07-14 15:10:00,70.5 W/m²
2024-07-14 15:15:00,69.9 W/m²
2024-07-14 15:20:00,68.8 W/m²
2024-07-14 15:25:00,68.5 W/m²
2024-07-14 15:30:00,67.2 W/m²
2024-07-14 15:35:00,66.5 W/m²
2024-07-14 15:40:00,65.6 W/m²
2024-07-14 15:45:00,66.2 W/m²
2024-07-14 15:50:00,66.6 W/m²
2024-07-14 15:55:00,66.3 W/m²
2024-07-14 16:00:00,63.8 W/m²
2024-07-14 16:05:00,64.2 W/m²
2024-07-14 16:10:00,62.4 W/m²
2024-07-14 16:15:00,62.4 W/m²
2024-07-14 16:20:00,60.1 W/m²
2024-07-14 16:25:00,60.3 W/m²
2024-07-14 16:30:00,59.3 W/m²
2024-07-14 16:35:00,58.2 W/m²
2024-07-14 16:40:00,57.6 W/m²
2024-07-14 16:45:00,56.8 W/m²
2024-07-14 16:50:00,54.4 W/m²
2024-07-14 16:55:00,54.0 W/m²
2024-07-14 17:00:00,53.6 W/m²
2024-07-14 17:05:00,52.4 W/m²
2024-07-14 17:10:00,51.8 W/m²
2024-07-14 17:15:00,49.8 W/m²
2024-07-14 17:20:00,48.4 W/m²
2024-07-14 17:25:00,46.2 W/m²
2024-07-14 17:30:00,44.8 W/m²
2024-07-14 17:35:00,42.8 W/m²
2024-07-14 17:40:00,41.1 W/m²
2024-07-14 17:45:00,38.8 W/m²
2024-07-14 17:50:00,36.5 W/m²
2024-07-14 17:55:00,34.2 W/m²
2024-07-14 18:00:00,31.6 W/m²
